,Interests,Citations,H-Index,i10-Index,Coauthors
Prof. (Dr.) Vinod Yadava,"FEA for Design & Manufacturing, ANN &DOE in Manufacturing, RAM Analysis",6352,35,86,"['V Yadav', 'S Mishra', 'AK Dubey', 'KL Bhondwe', 'SKS Yadav', 'MC Panda', 'VL Narayana', 'G Kathiresan', 'VK Jain', 'A Sharma', 'PM Dixit', 'R Kumar', 'R Rao', 'GK Singh', 'RB Patil', 'V Yadava']"
Dharmender Singh Kushwaha,"Distributed Systems, DLT & Blockchain, Software Engineering, Image Processing, Machine Learning",2434,24,79,"['M Choudhary', 'A Sharma', 'A Nigam', 'N Singh', 'SK Pippal', 'SK Mishra', 'AK Misra', 'RK Sachan', 'T Kumar', 'DS Kushwaha', 'TK Jain', '...', 'A Tiwari', 'S Agrawal', 'A Singh', 'K Singh', 'AS Yadav', 'S Singh', 'E Patel']"
